age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
late50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below5, United-States
early20, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,none,none,below5, Vietnam
mid60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
early70, ?, HS-grad, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,none,none,below5, United-States
early60, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
late50, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below5, United-States
late60, ?, Assoc-acdm, Divorced, ?, Unmarried, White, Female,none,none,below5, United-States
early80, ?, Assoc-voc, Divorced, ?, Unmarried, White, Female,none,none,below5, ?
late20, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,none,none,below5, United-States
early20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Male,none,none,below5, United-States
mid40, ?, Masters, Married-civ-spouse, ?, Wife, White, Female,none,none,below5, United-States
late60, ?, Assoc-voc, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
mid70, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,none,none,below5, United-States
late60, ?, Assoc-voc, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
mid70, ?, 10th, Widowed, ?, Other-relative, Asian-Pac-Islander, Female,none,none,below5, China
mid70, Private, 10th, Divorced, Other-service, Not-in-family, White, Female,none,none,below5, United-States
late70, ?, HS-grad, Widowed, ?, Not-in-family, White, Female,none,none,below5, United-States
mid60, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,below2000,none,below5, ?
late60, ?, Some-college, Never-married, ?, Not-in-family, White, Male,below2000,none,below5, United-States
late70, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,none,below2000,below5, United-States
