Wifes-age,Wifes-education,Husbands-education,Number-of-children-ever-born,Wifes-religion,Wifes-now-working?,Husbands-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
below20,high,high,one-to-two,Islam,not-working,medium-paid,4,Good,Short-term
mid40s,high,high,nine-to-ten,Islam,not-working,low-paid,1,Good,Long-term
early30s,medium,high,three-to-five,Islam,working,medium-paid,1,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,1,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,1,Good,Long-term
mid30s,medium,low,six-to-eight,Islam,not-working,medium-paid,1,Good,Long-term
mid30s,low,medium,nine-to-ten,Islam,working,high-paid,1,Good,Long-term
mid20s,high,high,one-to-two,Islam,not-working,high-paid,1,Good,Long-term
mid20s,high,low,three-to-five,Islam,not-working,high-paid,1,Good,Long-term
late30s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,2,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,2,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,2,Good,Long-term
late20s,high,high,three-to-five,Islam,not-working,low-paid,2,Good,Long-term
late30s,medium,high,three-to-five,Islam,not-working,low-paid,2,Good,Long-term
early30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,2,Good,Long-term
early30s,high,very-high,three-to-five,Islam,not-working,low-paid,2,Good,Long-term
early40s,medium,high,six-to-eight,Islam,not-working,low-paid,2,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,working,medium-paid,2,Good,Long-term
early30s,medium,low,three-to-five,Islam,working,medium-paid,2,Good,Long-term
mid30s,high,very-high,three-to-five,Islam,not-working,medium-paid,2,Good,Long-term
mid30s,high,very-high,six-to-eight,Islam,not-working,medium-paid,2,Good,Long-term
mid30s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Good,Long-term
late30s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Good,Long-term
mid30s,very-high,very-high,one-to-two,Non-Islam,working,high-paid,2,Good,Long-term
late20s,very-high,high,three-to-five,Islam,working,high-paid,2,Good,Long-term
early40s,high,high,six-to-eight,Islam,working,high-paid,2,Good,Long-term
mid30s,medium,very-high,three-to-five,Non-Islam,not-working,high-paid,2,Good,Long-term
early20s,medium,medium,one-to-two,Islam,not-working,high-paid,2,Good,Long-term
early20s,high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,Long-term
mid20s,high,high,one-to-two,Islam,not-working,high-paid,2,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,not-working,high-paid,2,Good,Long-term
mid30s,high,high,three-to-five,Islam,not-working,high-paid,2,Good,Long-term
mid30s,high,medium,six-to-eight,Islam,not-working,high-paid,2,Good,Long-term
mid40s,high,very-high,six-to-eight,Islam,not-working,high-paid,2,Good,Long-term
mid40s,very-high,very-high,six-to-eight,Islam,not-working,high-paid,2,Good,Long-term
early30s,very-high,very-high,one-to-two,Non-Islam,working,low-paid,3,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,Long-term
mid30s,high,high,three-to-five,Islam,working,low-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Islam,working,low-paid,3,Good,Long-term
early30s,very-high,medium,one-to-two,Non-Islam,not-working,low-paid,3,Good,Long-term
mid20s,very-high,very-high,one-to-two,Non-Islam,not-working,low-paid,3,Good,Long-term
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,3,Good,Long-term
mid40s,high,high,three-to-five,Non-Islam,not-working,low-paid,3,Good,Long-term
mid40s,very-high,very-high,six-to-eight,Non-Islam,not-working,low-paid,3,Good,Long-term
early30s,high,very-high,six-to-eight,Non-Islam,not-working,low-paid,3,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
mid20s,high,high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
mid40s,low,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
mid20s,medium,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,Long-term
late30s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
late20s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
late20s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
mid30s,high,high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
early30s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
late20s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
early40s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
late30s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,Long-term
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,3,Good,Long-term
